Name,Description
Pok&#xe9;mon Togepi Faux Leather Crossbody Purse,"Get a little more space in your inventory
			
		
		Pokémon are great because they go with you everywhere. And now, you can count on them to go wherever you do even if you don't have any Poké balls handy with these adorable little Pokémon character crossbody purses. As is always the case with Pokémon, the hard part is going to be choosing one. Urgh! Why do you gotta make us choose, Professor? They're all adorable and powerful in their own way. And no matter which we choose, your bratty grandson is just going to pick the one that beats it.Pick Togepi! Togepi's good luck. It's happy and joyful, which everybody could use more of, right? And it hasn't quite come out of its shell yet. We get you, Togepi. We get you."
Beauty and the Beast Book Clutch,"Tres Belle
			
		
		If only Belle had remembered to drop her phone into her clutch when she was taken captive by the Beast, she could have phoned a friend for help escaping from the enchanted castle. Then again, with a quick rescue she would never have had time to get to know the Beast. Would that have been so bad though? Maybe she would have finally escaped that provincial town. This sweet little purse by Danielle Nicole is inspired by Beauty and The Beast and designed to look just like one of the many books that Belle is always sticking her nose into. The clutch has gold accents, a zip around closure, and a removable 15"" strap. Drop in your magic mirror (and your phone), and you are all set!Product SpecificationsBeauty and The Best Book PurseOfficially-licensed Disney's animated Beauty and The Beast merchandiseEnough space for a few of your daily essentialsCharming accessory for fans of Beauty and The Best Materials: Gold-colored hardware and polyurethaneDimensions: 6 1/2"" wide x 9"" tall x 2 1/2"" deepRemovable strap has 15"" drop"
Doctor Who Weeping Angel Purse,"Folks can't take their eyes off a bag this stylish
			
		
		Weeping Angels are, hands down, our favorite new Who baddies. Adipose is super cute. And the Silence are terrifying. But the Weeping Angels take a power that is one of the most cool things about The Good Doctor (time travel) and use it for their own nefarious purposes. Which is a brilliant concept. Carry a Weeping Angel with you in honor of them with this stylish purse. Maybe that means when they take over, you'll be the last to go. Or, then again, we've heard them say that which holds the image of an angel becomes... oh crap. Time to nuke the warehouse again. From space. It's the only way to be sure.Product Specifications Doctor Who Weeping Angel PurseOfficially-licensed Doctor Who merchandise From our friends at LoungeflyOutside of the front flap has a Weeping Angel with its face coveredLift the flap to reveal the Weeping Angel's face!!!Removable shoulder chain has 24"" dropFlap closes with a magnetic snapInterior zipped pocket Materials: Faux leatherCare Instructions: Spot clean with a damp cloth and mild detergent ImportedDimensions: 8"" wide x 6"" tall x 3"" deepWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Pok&#xe9;mon Pikachu Faux Leather Mini Backpack,"Give 'Em a Shock
			
		
		Whether you're adventuring down the road in search of new Pokémon, taking on the Pokémon League, or just enjoying some time with friends, you can always count on Pikachu. But watch out, because as a true friend, Pikachu will have no trouble at all letting you know if you step out of line, and the effect can be quite... electrifying.Pikachu is a friend that you always want to have at your back, and you always can! With this mini backpack that looks just like the loveable yellow mouse Pokémon, he'll be right there with you when you need him. And unlike a real Pokémon, he can actually hold more than one item - lots of little items, in fact! With a zippered main compartment, two open side pockets, and a zippered front pocket, there's lots of room to stash berries, a rope, potions, repels, and probably even a bicycle. Or at least, that's what the games led us to believe. Where else could that thing have gone when you weren't riding it?"
Harry Potter Uniform Clutch with Shoulder Chain,"For keeping your cash safe when it's not at Gringotts
			
		
		Don't stress out about what House you get put into at Hogwarts. Kids get pretty worked up over the whole thing, but it's really not such a big deal. It just determines who you'll live with for the next seven years, who you'll hang out with and befriend, and pretty much makes a judgement call about what type of witch or wizard you'll grow up to be. So don't freak out! Just put the weird talking hat on.Once you've been sorted, declare your House allegiance with one of these shiny clutches that are a mini version of your house's uniform from Hogwarts School of Witchcraft and Wizardry. Choose Gryffindor, Hufflepuff, Ravenclaw, or Slytherin. They have enough room for all your necessaries, plus they make a sweet way to carry around your eReader or a small, less-bitey reproduction of the Monster Book of Monsters.Product SpecificationsHarry Potter Uniform Clutch with Shoulder Chain Officially-licensed Harry Potter merchandise A ThinkGeek collaboration with the Danielle Nicole brandChoose Gryffindor, Hufflepuff, Ravenclaw, or SlytherinPerfect clutch for an evening in Diagon AlleyFront looks like Hogwarts uniform with gold-colored hardware3 interior card slots13"" chain dropCapacity: It does not quite fit an iPad, but will probably fit your eReaderMaterials: Faux leather (polyurethane) outer with 100% polyester linerCare Instructions: Spot clean with a damp cloth and mild detergent Imported Dimensions: 10"" wide x 6 1/2"" tall x 1 3/4"" deep at baseWeight: 8 oz."
Star Wars R2-D2 Faux Leather Convertible Purse,"You Artoo stylish!
			
		
		When you're carrying something super-important, say, your car keys or your eReader or the plans to the Death Star, what would YOU use to carry them? Take a tip from a Rebel princess: astromech droids are the best. Store your valuables in this little R2 unit, and you'll never have to worry again about them getting there safely. That's its job.This little Star Wars R2-D2 Faux Leather Convertible Purse comes with a combination of navy blue, white, and grey faux Saffiano leather. It has double handles plus a removable and adjustable shoulder strap so you can tote it around however works best for you. You have to provide the bloops, beeps, and happy whistles.Product SpecificationsStar Wars R2-D2 Faux Leather Convertible PurseOfficially-licensed Star Wars merchandiseSingle zipper top closure2 interior pouches (1 with a zipper closure)Double handles plus a removable and adjustable shoulder strapR2-D2 liningMaterials: Faux Saffiano leather exteriorCare Instructions: Spot clean with a damp cloth and mild detergent ImportedExterior Dimensions: 11 1/2"" wide x 9"" tall x 5"" deepIt won't fit your laptop, but it might fit your netbook, tablet, or eReaderWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Pok&#xe9;mon Bulbasaur Faux Leather Crossbody Purse,"Get a little more space in your inventory
			
		
		Pokémon are great because they go with you everywhere. And now, you can count on them to go wherever you do even if you don't have any Poké balls handy with these adorable little Pokémon character crossbody purses. As is always the case with Pokémon, the hard part is going to be choosing one. Urgh! Why do you gotta make us choose, Professor? They're all adorable and powerful in their own way. And no matter which we choose, your bratty grandson is just going to pick the one that beats it.Pick Bulbasaur! Bulbasaur defeats the first two gym leaders while you're busy building out your team. It's odd looking, and that's an essential part of its cuteness (kind of like us). Immunity to poison. And you have the awesome symbiosis thing going with the plant on its back as it evolves. Everybody wins."
Black Widow Tote Bag ,"Stealth Geek Chic
			
		
		While in her S.H.I.E.L.D. uniform, Natasha is a utility belt kind of gal. And while we're fans of a good utility belt in the right situation, a purse generally draws a lot less attention. Perfect for those times when we need to go undercover, such as taking on the identity of Natalie Rushman and getting hired as Tony Stark's assistant so that we can report on him to Nick Fury.There's plenty of room inside this Black Widow Tote Bag to hold a wallet with fake identification, a S.H.I.E.L.D.-issued weapon, a burner phone, a Latin dictionary, and anything else we need to complete our mission. But the real beauty is in the subtle styling: the distinct Black Widow colors and design based on her outfit. It's got a really nice feel to it, with embossed dots and crosshatching on the exterior fabrics. And the Black Widow insignia is a subtle signal to perceptive fellow Marvel fans, letting them know that you're a friendly agent on an undercover mission. Even if that mission is just to pick up dry cleaning for a billionaire superhero, at least you'll be prepared with everything you need in your Black Widow bag.Product SpecificationsBlack Widow Tote BagOfficially-licensed Marvel merchandise Made by LoungeflyBlack simulated leather bag with Black Widow stylingPerfect for undercover S.H.I.E.L.D. missions or everyday errandsSuper touchable exterior features embossed dot pattern and cross-hatchingMagnetic snap top closure1 large interior open pocket with 2 sections, zippered dividerBlack tone-on-tone Marvel liningDouble handles have 5 1/2"" drop Materials: Simulated leatherCare Instructions: Spot clean with a damp cloth and mild detergentImportedDimensions: 12"" wide (top) 13"" wide (bottom) x 9"" tall x 7"" deepWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Star Wars Rebel Canvas Crossbody Bag,"Rebels Must Adapt Quickly
			
		
		Have you been swept up in an epic adventure across the galaxy? That happens to the best of us. No really, the *best* of us, so we're totally jealous of you right now. Along the way, you're sure to pick up some important items that you'll need to carry with you as you go. And if one of those is a lightsaber with tons of history, we can only say, ""Luuuuuuuuuucky!""Keep everything you need to rebel close at hand with this convertible Rebel canvas bag. Need to sling it over your shoulder and make a quick escape? Use it as a crossbody bag and then make the jump to lightspeed. Want to free up your shoulder? The adjustable strap can loop through the back of the back and then buckle to itself, giving you an instant belt bag. That's super convenient when you never know where the Rebellion will take you next! An applique Rebel starbird and a secret message (possibly more secret than they intended) signal just which side you've taken in this crazy galaxy. Product SpecificationsStar Wars Rebel Canvas Crossbody BagOfficially-licensed Star Wars merchandiseTan canvas bag with brown faux leather detailsMade by our friends at LoungeflyAdjustable strap with metal clasps can be worn two ways:Crossbody bagBelt bag with the two buckles linked to each other1 medium open pocket on the insideInterior zipper pocketMagnetic button clasp closureFeatures faux Aurebesh on inner lining and outer flap (it would say May the Force be with You, but each letter is backwards) Materials: Cotton twill canvas / vegan faux (PU) leatherDimensions:Bag: 8"" wide x 8 1/2"" high x 3"" deepStrap: 1 1/2"" wide x 31""-56"" (adjustable)WARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Marvel Black Panther Handbag,"Long live the king
ComicBook.com just ran a very timely piece on the Richest Superheroes and Villains in Marvel and DC Comics. And guess who scored that top slot? By a LOT, too. Turns out Vibranium's a Very Good Thing to have.  And if you're paying in Vibranium, you'll have a lot of space in this purse left over for other things like tickets to the Black Panther movie and the new Nnedi Okorafor comic, because, at $10K a gram, you won't need much of it. (Although we imagine making change could be a problem. *pays for a pack of gum with Vibranium*) The outside of this bag has metallic applique fashioned after the spike collar we see on T'Challa, and has debossed details. It's an elegant choice for a fan of the richest superhero we know.  Product SpecificationsMarvel Black Panther HandbagOfficially-licensed Black Panther merchandise From our friends at LoungeflyMetallic applique and debossed detailsAdjustable shoulder strap plus double handlesCustom Black Panther liningMaterials: Faux leatherCare Instructions: Spot clean with a damp cloth and mild detergent Imported Dimensions: 14 1/2"" wide x 10 1/2"" tall x 4"" deepWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Hello Kitty Mini Backpack,"Why Hello, Kitty!
			
		
		When you read Hello Kitty's profile, you'll find that she lives in a world that uses an odd system of measurement. Her height is described as being ""five apples,"" which either means that this anthropomorphic animal culture really likes using non-standard measuring systems, or that maybe they've come to standardize it all and now they use the word ""apple"" like we Americans use the word ""foot."" But you know, measuring in tasty apples sounds a lot better than measuring in stinky feet, anyway!This Hello Kitty Mini Backpack is also about the height of five apples! Assuming you have apples that are just a touch over 2 inches tall, that is. Made of vegan faux leather (simply a must in this world of sentient animal friends), the backpack features Miss Kitty White's iconic face, blue overalls, and trademark red bow. On the back, you'll find padded white straps with red adjustable ribbons. There's a zip around closure on the top, and a zippered front pocket right below where her mouth would be, if this cat had a mouth. But she simply doesn't need one - her fresh look and wide eyes say it all!Product SpecificationsHello Kitty Mini BackpackOfficially-licensed Sanrio merchandiseFaux leather backpack featuring Hello KittyMade by our friends at LoungeflyAdjustable padded strapsZippered top closure2 open side pocketsFront zippered pocketFully-lined interiorTop handleMaterials: Vegan faux (PU) leatherDimensions: 5 apples high by 4 1/2 apples wide by 2 1/2 apples deep (10 1/2"" high by 9"" wide x 4 1/2"" deep)WARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck.  ""Will my laptop fit in this bag, ThinkGeek?"" Let's find out together!     Laptop fitting guide    Measure your laptop. Like TVs, laptops are listed by their measurement on the diagonal. Bags, on the other hand, are measured on the edges. Not all 17"" laptops are the same size, so you'll need to measure the length & width of your closed laptop.  ""But my laptop is at home, ThinkGeek!"" If you can't wait, Google has superpowers to tell you the dimensions of your laptop if you ask it nicely. Just input the make and model of your laptop and ye shall receive.  ""I've got the measurements! Now what?"" Compare your laptop's measurements to the measurements of the bag. If the laptop's measurements are smaller than the bag, it fits! If one or more of the laptop's measurements are bigger, you're out of luck with this bag. Try another."
Marvel Valkyrie Mini Backpack,"Fit for a Scrapper
 Spoiler alert. The breakout star of Thor: Ragnarok wasn't played by Jeff Goldblum or Cate Blanchett and it wasn't even a talking pile of rocks - though they were all strong contenders. No, the true surprise hit of the movie was the hard-drinking scrapper and Asgardian ex-pat called Valkyrie (or Brunnhilde if you're nasty). She's the last surviving member of an elite force of women warriors, and a (somewhat reluctant) recruit to Thor's makeshift ""Revengers"" team-up. And now? She's a mini backpack!   Or rather, she has a mini backpack designed in her honor. We know she's not literally the backpack - we're not drunk. She is. Anyway, this Loungefly creation is a ThinkGeek exclusive inspired by Valkyrie's tough yet sensible ensemble. Gold appliqué details like a sword badge and a buckle adorn the front of the bag, while the sides feature two pockets in the same vibrant blue as her cape. The interior is fully lined with custom ""Valkyrie"" printed fabric. Adjustable straps, top zip main compartment and a front zipper pocket mean that this bag has all the utility of a normal backpack, only smaller and way cooler. Plus it's made of cruelty-free simulated leather, because Valkyrie doesn't have time for needless cruelty!   Product Specifications Marvel Valkyrie Mini BackpackOfficially-licensed Marvel merchandiseA ThinkGeek exclusive from our friends at LoungeflyTop zip closure with a front zip pocketInterior is fully lined with custom ""Valkyrie"" printed fabricTwo side pockets in sky blue (just like Valkyrie's cape)Metallic appliqué details: sword badge and buckle Top hook loop for hangingPerfect for aspiring RevengersMaterials: simulated leatherCare Instructions: Drink responsiblyImportedDimensions: approx. 11"" tall x 9 3/4"" wide by 5 1/4"" deepStraps adjust from 26"" to 33""WARNING - ENTANGLEMENT HAZARD. Keep away from small children and neck."
The Sprite Bag by Pixelle,"Geek style in the bag
Charger cable, phone, lip balm, mirror, hand sanitizer, Moo cards, flash drive, other flash drive, yet another flash drive we put in there a month ago and forgot about.... Geek girls have lots of little things inside our handbags, and now with the The Sprite Handbag by Pixelle we can have lots of little things on the outside of them, too. This satchel-style handbag features a fashionable, repeating pattern of sprites in neon colors: 8-bit swords, hearts, robots, flasks, and books - basically all our favorite things. Colorful and quirky, the bag comes in black faux leather with grey trim and plum details with chromed hardware or white faux leather with tan trim and hot pink details with gold-colored hardware. It's a kitschy, stylish bag that will level up your already epic style.Product Specifications  Satchel-style geeky ladies' handbagA ThinkGeek creation & exclusiveChoose black with grey trim and plum details with chromed hardware or white with tan trim and hot pink details with gold-colored hardwareFashionable repeating pattern features sprites: 8-bit swords, hearts, robots, flasks, and booksDouble-handle for easy carry plus a removable shoulder strapAdjustable strap has 22 1/2 - 27"" drop (use flat-head screwdriver to adjust it)Top closes with single zipperInterior features 1 zippered pouch (6"" wide x 5"" tall), plus two open pouches (6"" wide x 3 1/2"" high and 2 1/2"" wide x 3 1/2"" high)Polyurethane corners and bottom; bottom also has metal feet for extra lifeMaterials: 100% polyurethane, leather-texture exterior + 100% polyester satin liningCare Instructions: Spot clean with a damp cloth and mild detergent ImportedRemovable exterior tag with engraved ThinkGeek nameplate, interior embossed ThinkGeek polyurethane tagDimensions: 10 1/2"" wide x 8"" tall x 5"" deepWeight: 1 lb. 6 oz."
Star Wars Princess Leia Rebel Tattoo Tote Bag,"Now and Forever a Rebel
The way Princess Leia covered up in the first couple films, it was entirely possible that she was sporting some ink that we just couldn't see, but then Return of the Jedi came along and we saw that it just wasn't the case. But hey, maybe she had a certain piece of art in mind, and she was saving it for after the big victory. Now we're wondering if the older General Organa doesn't have a little something hidden up those sleeves, to remember all that she's gone through.  Join the rebellion! And celebrate this classic Rebel with a black tote purse featuring applique flash tattoo-style artwork of her face in profile with roses and and the banner ""Rebel."" There's lots of room inside to carry everything that a member of the Rebel Alliance needs, with a few pockets in there to keep it all organized. Need to fly casual, under the radar? The back is plain black with just a little Star Wars name plate, so flip it around to that side when you pass any Stormtrooper checkpoints.   Product SpecificationsStar Wars Princess Leia Rebel Tattoo Tote BagOfficially-licensed Star Wars merchandiseBlack faux leather tote purse featuring the applique image of Princess LeiaMade by our friends at LoungeflyLarge open interior compartmentSmall open pocket on inside, small zipper pocket on opposite wall insideFully-lined interior with other flash tattoo designs based on LeiaMagnetic metal clasp closureTwo straps with 9"" dropMaterials: Vegan faux (PU) leatherExterior Dimensions: 17"" wide x 15 1/2"" tall x 5"" deepInterior Dimensions: 16 1/2"" wide x 13"" tall (if you want the snap to work) x 5"" deep  ""Will my laptop fit in this bag, ThinkGeek?"" Let's find out together!     Laptop fitting guide    Measure your laptop. Like TVs, laptops are listed by their measurement on the diagonal. Bags, on the other hand, are measured on the edges. Not all 17"" laptops are the same size, so you'll need to measure the length & width of your closed laptop.  ""But my laptop is at home, ThinkGeek!"" If you can't wait, Google has superpowers to tell you the dimensions of your laptop if you ask it nicely. Just input the make and model of your laptop and ye shall receive.  ""I've got the measurements! Now what?"" Compare your laptop's measurements to the measurements of the bag. If the laptop's measurements are smaller than the bag, it fits! If one or more of the laptop's measurements are bigger, you're out of luck with this bag. Try another."
